time,interval,temperature_2m,apparent_temperature,relative_humidity_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,city
2025-06-26T01:00,900,19.3,20.5,87,8.8,348,19.1,0.0,0.0,0.0,0.0,1,42,1021.2,1013.4,Lisbon
2025-06-26T10:00,900,8.6,6.7,79,5.4,266,11.9,0.0,0.0,0.0,0.0,2,74,1030.3,1027.9,Melbourne
2025-06-25T20:00,900,29.9,31.6,57,16.8,100,22.3,0.0,0.0,0.0,0.0,1,37,1013.8,1010.2,New York
2025-06-26T04:30,900,18.5,15.4,34,9.7,292,22.0,0.0,0.0,0.0,0.0,0,0,1006.7,819.5,Kabul
2025-06-26T09:00,900,25.2,30.9,95,4.2,301,18.0,0.0,0.0,0.0,0.0,3,88,1009.1,1004.5,Tokyo
2025-06-25T20:00,900,24.0,27.1,76,4.1,142,9.0,0.0,0.0,0.0,0.0,2,79,1017.5,1006.0,Toronto
2025-06-26T03:30,900,22.3,21.2,38,2.8,310,4.3,0.0,0.0,0.0,0.0,0,0,1007.8,881.5,Tehran
2025-06-25T21:00,900,11.6,10.9,86,3.3,41,11.9,0.0,0.0,0.0,0.0,0,0,1022.2,937.6,Sao Paulo
2025-06-26T03:00,900,12.4,8.8,72,20.2,327,38.5,0.0,0.0,0.0,0.0,0,18,1000.8,999.8,Helsinki
2025-06-25T19:00,900,22.0,26.1,92,0.8,117,8.3,2.0,2.0,0.0,0.0,65,100,1017.0,989.1,Chicago
2025-06-26T03:00,900,25.0,26.6,60,5.1,184,9.0,0.0,0.0,0.0,0.0,0,0,1007.3,1003.5,Beirut
2025-06-25T17:00,900,16.9,15.0,78,22.7,274,34.9,0.0,0.0,0.0,0.0,0,10,1016.1,1013.9,San Francisco
2025-06-26T03:00,900,13.2,11.3,83,14.4,306,28.4,0.0,0.0,0.0,0.0,3,80,994.7,992.7,Petersburg
2025-06-26T01:00,900,35.0,29.4,13,26.6,77,39.6,0.0,0.0,0.0,0.0,0,11,1011.1,951.7,Algerie
2025-06-26T02:00,900,25.2,28.6,75,5.2,12,11.2,0.0,0.0,0.0,0.0,2,51,1014.2,1011.0,Barcelona
2025-06-26T03:00,900,10.9,10.7,99,3.3,103,10.4,0.0,0.0,0.0,0.0,45,77,1023.6,894.8,Fianarantsoa
2025-06-26T03:00,900,22.5,22.0,61,13.7,85,19.1,0.0,0.0,0.0,0.0,1,30,1016.5,1015.6,Toliara
2025-06-26T02:00,900,25.7,30.3,79,6.3,103,10.1,0.0,0.0,0.0,0.0,3,91,1015.2,1014.5,Marseille
2025-06-26T03:00,900,16.1,16.9,86,3.1,306,7.6,0.0,0.0,0.0,0.0,2,64,1015.6,780.1,Addis Ababa
2025-06-26T08:00,900,27.4,33.7,88,4.3,156,7.9,0.0,0.0,0.0,0.0,3,97,1010.1,1004.8,Singapore
2025-06-25T20:00,900,8.1,6.8,87,1.8,191,6.8,0.0,0.0,0.0,0.0,2,55,1022.5,958.2,Santiago
2025-06-26T02:00,900,22.8,25.7,79,2.7,23,19.1,0.1,0.1,0.0,0.0,61,100,1011.7,1007.5,Paris
2025-06-25T20:00,900,31.2,35.5,69,15.9,219,23.4,0.0,0.0,0.0,0.0,3,100,1014.7,1011.1,Philadelphia
2025-06-25T21:00,900,17.9,17.7,65,3.8,107,12.2,0.0,0.0,0.0,0.0,0,0,1022.8,1022.3,Rio de Janeiro
2025-06-26T08:00,900,25.9,27.4,55,4.3,42,11.5,0.0,0.0,0.0,0.0,3,100,1006.9,1001.5,Beijing
2025-06-26T02:00,900,20.4,20.4,75,13.3,89,24.5,0.0,0.0,0.0,0.0,3,100,1010.8,1010.2,Amsterdam
2025-06-25T20:00,900,30.4,37.2,77,3.5,246,11.2,0.0,0.0,0.0,0.0,3,100,1015.7,1012.8,Washington
2025-06-27T01:00,900,23.5,28.7,98,2.7,23,6.1,0.0,0.0,0.0,0.0,45,76,1019.7,1015.7,Algiers
2025-06-27T03:00,900,13.1,12.5,91,8.2,151,12.6,0.0,0.0,0.0,0.0,2,78,1020.8,881.0,Antananarivo
2025-06-27T09:00,900,26.9,30.4,68,7.2,233,13.3,0.0,0.0,0.0,0.0,0,6,1008.8,1008.2,Osaka
2025-06-27T02:00,900,20.3,20.6,80,14.5,256,33.1,0.0,0.0,0.0,0.0,3,86,1014.6,1010.2,Berlin
2025-06-27T08:00,900,30.1,36.7,76,3.5,204,11.9,0.0,0.0,0.0,0.0,1,9,1008.0,1007.4,Shanghai
2025-06-27T03:00,900,21.1,19.9,41,3.3,49,7.9,0.0,0.0,0.0,0.0,0,0,1015.0,917.0,Ankara
2025-06-27T09:00,900,20.4,23.5,90,0.8,243,6.1,0.0,0.0,0.0,0.0,2,75,1010.4,1006.4,Seoul
2025-06-27T00:00,900,25.1,30.7,93,3.3,276,6.1,0.4,0.0,0.4,0.0,95,100,1014.9,1009.1,Abidjan
2025-06-27T03:00,900,25.2,27.1,76,15.5,168,20.9,0.0,0.0,0.0,0.0,2,58,1014.5,1014.5,Comores
2025-06-27T10:00,900,7.8,6.1,84,3.1,339,7.9,0.0,0.0,0.0,0.0,1,24,1034.1,1031.7,Melbourne
2025-06-27T04:30,900,17.7,14.6,29,5.8,330,12.2,0.0,0.0,0.0,0.0,1,29,1007.3,819.5,Kabul
2025-06-27T02:00,900,21.1,20.8,67,13.3,268,29.2,0.0,0.0,0.0,0.0,3,82,1018.3,989.1,Prague
2025-06-27T09:00,900,27.5,31.3,66,2.9,330,17.3,0.0,0.0,0.0,0.0,1,22,1006.2,1001.6,Tokyo
2025-06-27T03:30,900,22.6,21.5,39,4.0,355,7.6,0.0,0.0,0.0,0.0,0,0,1007.6,881.4,Tehran
2025-06-27T03:00,900,21.3,22.6,79,9.7,222,18.4,0.0,0.0,0.0,0.0,3,97,1017.5,1016.7,Toamasina
2025-06-26T20:00,900,27.0,30.3,78,14.1,122,24.1,0.0,0.0,0.0,0.0,0,9,1017.6,1017.0,Miami
