pays_id,pays
1,CZ
2,PT
3,ES
4,ET
5,TR
6,CL
7,CA
8,MG
9,KM
10,BR
11,HK
12,SE
13,AE
14,KR
15,SG
16,LB
17,SA
18,US
19,IQ
20,IR
21,BE
22,RU
23,TH
24,AU
25,DE
26,JP
27,IN
28,NL
29,CN
30,AF
31,DZ
32,FR
33,CI
34,MX
35,GB
36,MA
37,KE
38,FI
39,AT
